"","ANO","MES","PASSAGEIROS_PAGOS","CARGA_PAGA_KG","DATA","DATA_ym","TEMPO_DESDE_INICIO","LAG_1"
"1",2000,1,845520,15248467,2000-01-01,1999 dez,1.03333333333333,0
"2",2000,2,798412,17111014,2000-02-01,2000 jan,2.06666666666667,845520
"3",2000,3,889763,18143113,2000-03-01,2000 fev,3.03333333333333,798412
"4",2000,4,892978,17305862,2000-04-01,2000 mar,4.06666666666667,889763
"5",2000,5,860660,16761173,2000-05-01,2000 abr,5.06666666666667,892978
"6",2000,6,857018,14778361,2000-06-01,2000 mai,6.1,860660
"7",2000,7,957647,14981051,2000-07-01,2000 jun,7.1,857018
"8",2000,8,865425,15734429,2000-08-01,2000 jul,8.13333333333333,957647
"9",2000,9,815013,15000231,2000-09-01,2000 ago,9.16666666666667,865425
"10",2000,10,864936,15464256,2000-10-01,2000 set,10.1666666666667,815013
"11",2000,11,804286,15955016,2000-11-01,2000 out,11.2,864936
"12",2000,12,883426,17372922,2000-12-01,2000 nov,12.2,804286
"13",2001,1,851773,13393799,2001-01-01,2000 dez,13.2333333333333,883426
"14",2001,2,782072,13588351,2001-02-01,2001 jan,14.2666666666667,851773
"15",2001,3,882971,16612446,2001-03-01,2001 fev,15.2,782072
"16",2001,4,884109,15692524,2001-04-01,2001 mar,16.2333333333333,882971
"17",2001,5,835822,16910645,2001-05-01,2001 abr,17.2333333333333,884109
"18",2001,6,884906,15758631,2001-06-01,2001 mai,18.2666666666667,835822
"19",2001,7,1014683,15541694,2001-07-01,2001 jun,19.2666666666667,884906
"20",2001,8,975240,16338397,2001-08-01,2001 jul,20.3,1014683
"21",2001,9,841609,14949275,2001-09-01,2001 ago,21.3333333333333,975240
"22",2001,10,868477,16790486,2001-10-01,2001 set,22.3333333333333,841609
"23",2001,11,807351,16462114,2001-11-01,2001 out,23.3666666666667,868477
"24",2001,12,866803,16861225,2001-12-01,2001 nov,24.3666666666667,807351
"25",2002,1,889051,13948112,2002-01-01,2001 dez,25.4,866803
"26",2002,2,760206,14793059,2002-02-01,2002 jan,26.4333333333333,889051
"27",2002,3,855720,17727350,2002-03-01,2002 fev,27.3666666666667,760206
"28",2002,4,849006,16108713,2002-04-01,2002 mar,28.4,855720
"29",2002,5,885693,16360087,2002-05-01,2002 abr,29.4,849006
"30",2002,6,868183,15418106,2002-06-01,2002 mai,30.4333333333333,885693
"31",2002,7,968967,16233007,2002-07-01,2002 jun,31.4333333333333,868183
"32",2002,8,867297,17188621,2002-08-01,2002 jul,32.4666666666667,968967
"33",2002,9,816777,16954849,2002-09-01,2002 ago,33.5,867297
"34",2002,10,793618,17855410,2002-10-01,2002 set,34.5,816777
"35",2002,11,752129,18714966,2002-11-01,2002 out,35.5333333333333,793618
"36",2002,12,769068,18776754,2002-12-01,2002 nov,36.5333333333333,752129
"37",2003,1,748329,14783268,2003-01-01,2002 dez,37.5666666666667,769068
"38",2003,2,707289,15992865,2003-02-01,2003 jan,38.6,748329
"39",2003,3,715822,16525953,2003-03-01,2003 fev,39.5333333333333,707289
"40",2003,4,793087,16916682,2003-04-01,2003 mar,40.5666666666667,715822
"41",2003,5,792779,17504859,2003-05-01,2003 abr,41.5666666666667,793087
"42",2003,6,833613,15543854,2003-06-01,2003 mai,42.6,792779
"43",2003,7,925792,15133285,2003-07-01,2003 jun,43.6,833613
"44",2003,8,903758,14743717,2003-08-01,2003 jul,44.6333333333333,925792
"45",2003,9,871829,15555239,2003-09-01,2003 ago,45.6666666666667,903758
"46",2003,10,911291,16210544,2003-10-01,2003 set,46.6666666666667,871829
"47",2003,11,863754,15573561,2003-11-01,2003 out,47.7,911291
"48",2003,12,905899,16875473,2003-12-01,2003 nov,48.7,863754
"49",2004,1,850418,13305587,2004-01-01,2003 dez,49.7333333333333,905899
"50",2004,2,792007,14721294,2004-02-01,2004 jan,50.7666666666667,850418
"51",2004,3,890427,17781925,2004-03-01,2004 fev,51.7333333333333,792007
"52",2004,4,891066,17271729,2004-04-01,2004 mar,52.7666666666667,890427
"53",2004,5,924921,17296038,2004-05-01,2004 abr,53.7666666666667,891066
"54",2004,6,911272,17168981,2004-06-01,2004 mai,54.8,924921
"55",2004,7,1009701,17159926,2004-07-01,2004 jun,55.8,911272
"56",2004,8,955486,19780024,2004-08-01,2004 jul,56.8333333333333,1009701
"57",2004,9,923613,16540066,2004-09-01,2004 ago,57.8666666666667,955486
"58",2004,10,976702,17354231,2004-10-01,2004 set,58.8666666666667,923613
"59",2004,11,941432,17485059,2004-11-01,2004 out,59.9,976702
"60",2004,12,1007951,17853907,2004-12-01,2004 nov,60.9,941432
"61",2005,1,992698,13903118,2005-01-01,2004 dez,61.9333333333333,1007951
"62",2005,2,894703,15441695,2005-02-01,2005 jan,62.9666666666667,992698
"63",2005,3,1074707,17773334,2005-03-01,2005 fev,63.9,894703
"64",2005,4,1043468,17687630,2005-04-01,2005 mar,64.9333333333333,1074707
"65",2005,5,1076900,18107493,2005-05-01,2005 abr,65.9333333333333,1043468
"66",2005,6,1079031,17237937,2005-06-01,2005 mai,66.9666666666667,1076900
"67",2005,7,1290260,16470970,2005-07-01,2005 jun,67.9666666666667,1079031
"68",2005,8,1135091,15227350,2005-08-01,2005 jul,69,1290260
"69",2005,9,1157612,15502501,2005-09-01,2005 ago,70.0333333333333,1135091
"70",2005,10,1202649,16351741,2005-10-01,2005 set,71.0333333333333,1157612
"71",2005,11,1096155,16883670,2005-11-01,2005 out,72.0666666666667,1202649
"72",2005,12,1195856,17659523,2005-12-01,2005 nov,73.0666666666667,1096155
"73",2006,1,1164906,13583604,2006-01-01,2005 dez,74.1,1195856
"74",2006,2,1061485,15019674,2006-02-01,2006 jan,75.1333333333333,1164906
"75",2006,3,1175448,16771409,2006-03-01,2006 fev,76.0666666666667,1061485
"76",2006,4,1177393,15303359,2006-04-01,2006 mar,77.1,1175448
"77",2006,5,1217677,15611989,2006-05-01,2006 abr,78.1,1177393
"78",2006,6,1149063,12486217,2006-06-01,2006 mai,79.1333333333333,1217677
"79",2006,7,1187725,12704740,2006-07-01,2006 jun,80.1333333333333,1149063
"80",2006,8,1166385,12743949,2006-08-01,2006 jul,81.1666666666667,1187725
"81",2006,9,1169114,12923175,2006-09-01,2006 ago,82.2,1166385
"82",2006,10,1233609,13581945,2006-10-01,2006 set,83.2,1169114
"83",2006,11,1110476,14178285,2006-11-01,2006 out,84.2333333333333,1233609
"84",2006,12,1171078,14798966,2006-12-01,2006 nov,85.2333333333333,1110476
"85",2007,1,1160600,12293958,2007-01-01,2006 dez,86.2666666666667,1171078
"86",2007,2,1027125,12131417,2007-02-01,2007 jan,87.3,1160600
"87",2007,3,1214087,14609155,2007-03-01,2007 fev,88.2333333333333,1027125
"88",2007,4,1304141,12967634,2007-04-01,2007 mar,89.2666666666667,1214087
"89",2007,5,1288402,14357621,2007-05-01,2007 abr,90.2666666666667,1304141
"90",2007,6,1246204,13114143,2007-06-01,2007 mai,91.3,1288402
"91",2007,7,1121346,12402113,2007-07-01,2007 jun,92.3,1246204
"92",2007,8,1068065,12262505,2007-08-01,2007 jul,93.3333333333333,1121346
"93",2007,9,1173502,12483183,2007-09-01,2007 ago,94.3666666666667,1068065
"94",2007,10,957910,13884093,2007-10-01,2007 set,95.3666666666667,1173502
"95",2007,11,972247,14257404,2007-11-01,2007 out,96.4,957910
"96",2007,12,1112716,14318280,2007-12-01,2007 nov,97.4,972247
"97",2008,1,1202075,12786244,2008-01-01,2007 dez,98.4333333333333,1112716
"98",2008,2,1147103,14223515,2008-02-01,2008 jan,99.4666666666667,1202075
"99",2008,3,1301976,15971080,2008-03-01,2008 fev,100.433333333333,1147103
"100",2008,4,1362797,15412716,2008-04-01,2008 mar,101.466666666667,1301976
"101",2008,5,1437407,15550655,2008-05-01,2008 abr,102.466666666667,1362797
"102",2008,6,1366126,15263114,2008-06-01,2008 mai,103.5,1437407
"103",2008,7,1372960,15330796,2008-07-01,2008 jun,104.5,1366126
"104",2008,8,1328262,15807417,2008-08-01,2008 jul,105.533333333333,1372960
"105",2008,9,1282061,16354927,2008-09-01,2008 ago,106.566666666667,1328262
"106",2008,10,1235107,14615022,2008-10-01,2008 set,107.566666666667,1282061
"107",2008,11,1244363,14493722,2008-11-01,2008 out,108.6,1235107
"108",2008,12,1400379,14094851,2008-12-01,2008 nov,109.6,1244363
"109",2009,1,1304580,10183535,2009-01-01,2008 dez,110.633333333333,1400379
"110",2009,2,1082222,10302156,2009-02-01,2009 jan,111.666666666667,1304580
"111",2009,3,1250738,13881800,2009-03-01,2009 fev,112.6,1082222
"112",2009,4,1251056,11376641,2009-04-01,2009 mar,113.633333333333,1250738
"113",2009,5,1255503,12928578,2009-05-01,2009 abr,114.633333333333,1251056
"114",2009,6,1358763,11191760,2009-06-01,2009 mai,115.666666666667,1255503
"115",2009,7,1458227,13680424,2009-07-01,2009 jun,116.666666666667,1358763
"116",2009,8,1338328,14065262,2009-08-01,2009 jul,117.7,1458227
"117",2009,9,1433526,15106047,2009-09-01,2009 ago,118.733333333333,1338328
"118",2009,10,1607490,15763578,2009-10-01,2009 set,119.733333333333,1433526
