"","estacao_cetesb","poluente","data","concentracao"
"1","Pinheiros","CO",2017-01-01,0.48
"2","Pinheiros","CO",2017-01-02,0.9
"3","Pinheiros","CO",2017-01-03,0.595833333333333
"4","Pinheiros","CO",2017-01-04,0.4125
"5","Pinheiros","CO",2017-01-05,0.4125
"6","Pinheiros","CO",2017-01-06,0.395833333333333
"7","Pinheiros","CO",2017-01-07,0.445833333333333
"8","Pinheiros","CO",2017-01-08,0.294117647058824
"9","Pinheiros","CO",2017-01-09,1.78
"10","Pinheiros","CO",2017-01-10,0.658333333333333
"11","Pinheiros","CO",2017-01-11,0.4125
"12","Pinheiros","CO",2017-01-12,0.283333333333333
"13","Pinheiros","CO",2017-01-13,0.254166666666667
"14","Pinheiros","CO",2017-01-14,0.275
"15","Pinheiros","CO",2017-01-15,0.316666666666667
"16","Pinheiros","CO",2017-01-16,0.416666666666667
"17","Pinheiros","CO",2017-01-17,0.429166666666667
"18","Pinheiros","CO",2017-01-18,0.6625
"19","Pinheiros","CO",2017-01-19,0.5375
"20","Pinheiros","CO",2017-01-20,0.683333333333333
"21","Pinheiros","CO",2017-01-21,0.508333333333333
"22","Pinheiros","CO",2017-01-22,0.4875
"23","Pinheiros","CO",2017-01-23,0.6375
"24","Pinheiros","CO",2017-01-24,0.5625
"25","Pinheiros","CO",2017-01-25,0.304166666666667
"26","Pinheiros","CO",2017-01-26,0.578260869565217
"27","Pinheiros","CO",2017-01-27,0.583333333333333
"28","Pinheiros","CO",2017-01-28,0.270833333333333
"29","Pinheiros","CO",2017-01-29,0.208333333333333
"30","Pinheiros","CO",2017-01-30,0.304166666666667
"31","Pinheiros","CO",2017-01-31,0.316666666666667
"32","Pinheiros","CO",2017-02-01,0.641666666666667
"33","Pinheiros","CO",2017-02-02,0.6375
"34","Pinheiros","CO",2017-02-03,0.570833333333333
"35","Pinheiros","CO",2017-02-04,0.570833333333333
"36","Pinheiros","CO",2017-02-05,0.504166666666667
"37","Pinheiros","CO",2017-02-06,0.5
"38","Pinheiros","CO",2017-02-07,0.454166666666667
"39","Pinheiros","CO",2017-02-08,0.208333333333333
"40","Pinheiros","CO",2017-02-09,0.191666666666667
"41","Pinheiros","CO",2017-02-10,0.270833333333333
"42","Pinheiros","CO",2017-02-11,0.2875
"43","Pinheiros","CO",2017-02-12,0.325
"44","Pinheiros","CO",2017-02-13,0.383333333333333
"45","Pinheiros","CO",2017-02-14,0.350087036677296
"46","Pinheiros","CO",2017-02-15,0.4
"47","Pinheiros","CO",2017-02-16,0.5125
"48","Pinheiros","CO",2017-02-17,0.55
"49","Pinheiros","CO",2017-02-18,0.704166666666667
"50","Pinheiros","CO",2017-02-19,0.579166666666667
"51","Pinheiros","CO",2017-02-20,0.345833333333333
"52","Pinheiros","CO",2017-02-21,0.428813658627541
"53","Pinheiros","CO",2017-02-22,0.43318771439562
"54","Pinheiros","CO",2017-02-23,0.268084670490506
"55","Pinheiros","CO",2017-02-24,0.40089643071936
"56","Pinheiros","CO",2017-02-25,0.41276653250251
"57","Pinheiros","CO",2017-02-26,0.604890037159019
"58","Pinheiros","CO",2017-02-27,0.54841442183681
"59","Pinheiros","CO",2017-02-28,0.58818730439593
"60","Pinheiros","CO",2017-03-01,0.584627352025664
"61","Pinheiros","CO",2017-03-02,0.728444865662276
"62","Pinheiros","CO",2017-03-03,0.725
"63","Pinheiros","CO",2017-03-04,0.475
"64","Pinheiros","CO",2017-03-05,0.291666666666667
"65","Pinheiros","CO",2017-03-06,0.904166666666667
"66","Pinheiros","CO",2017-03-07,0.780952380952381
"67","Pinheiros","CO",2017-03-08,0.560869565217391
"68","Pinheiros","CO",2017-03-09,0.520833333333333
"69","Pinheiros","CO",2017-03-10,0.779166666666667
"70","Pinheiros","CO",2017-03-11,0.433333333333333
"71","Pinheiros","CO",2017-03-12,0.352173913043478
"72","Pinheiros","CO",2017-03-13,0.2625
"73","Pinheiros","CO",2017-03-14,0.2625
"74","Pinheiros","CO",2017-03-15,0.391666666666667
"75","Pinheiros","CO",2017-03-16,0.733333333333333
"76","Pinheiros","CO",2017-03-17,0.7
"77","Pinheiros","CO",2017-03-18,0.191666666666667
"78","Pinheiros","CO",2017-03-19,0.15
"79","Pinheiros","CO",2017-03-20,0.170833333333333
"80","Pinheiros","CO",2017-03-21,0.208333333333333
"81","Pinheiros","CO",2017-03-22,0.220833333333333
"82","Pinheiros","CO",2017-03-23,0.295833333333333
"83","Pinheiros","CO",2017-03-24,0.483333333333333
"84","Pinheiros","CO",2017-03-25,0.4875
"85","Pinheiros","CO",2017-03-26,0.245833333333333
"86","Pinheiros","CO",2017-03-27,0.2625
"87","Pinheiros","CO",2017-03-28,0.1875
"88","Pinheiros","CO",2017-03-29,0.1875
"89","Pinheiros","CO",2017-03-30,0.195833333333333
"90","Pinheiros","CO",2017-03-31,0.195833333333333
"91","Pinheiros","CO",2017-04-01,0.158333333333333
"92","Pinheiros","CO",2017-04-02,0.183333333333333
"93","Pinheiros","CO",2017-04-03,0.3125
"94","Pinheiros","CO",2017-04-04,0.454166666666667
"95","Pinheiros","CO",2017-04-05,0.808333333333333
"96","Pinheiros","CO",2017-04-06,0.775
"97","Pinheiros","CO",2017-04-07,0.430434782608696
"98","Pinheiros","CO",2017-04-08,0.295833333333333
