"","CO_SH4","NO_SH4_POR","CO_ANO","CO_MES","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"1","1201","Soja, mesmo triturada",1997,"01",14030,14030000,4118740
"2","1201","Soja, mesmo triturada",1997,"02",17095,17095000,4896148
"3","1201","Soja, mesmo triturada",1997,"03",550158,550157554,156200973
"4","1201","Soja, mesmo triturada",1997,"04",1598889,1598886449,462887400
"5","1201","Soja, mesmo triturada",1997,"05",1697310,1697312680,504098587
"6","1201","Soja, mesmo triturada",1997,"06",1345807,1345808797,395752981
"7","1201","Soja, mesmo triturada",1997,"07",1670252,1670251481,494893812
"8","1201","Soja, mesmo triturada",1997,"08",986598,986597810,291057057
"9","1201","Soja, mesmo triturada",1997,"09",348749,348746010,104112390
"10","1201","Soja, mesmo triturada",1997,"10",105547,105540943,32397210
"11","1201","Soja, mesmo triturada",1997,"11",4902,4899180,1893282
"12","1201","Soja, mesmo triturada",1997,"12",264,264120,118429
"13","1201","Soja, mesmo triturada",1998,"01",1625,1624160,681933
"14","1201","Soja, mesmo triturada",1998,"02",21248,21248400,5371772
"15","1201","Soja, mesmo triturada",1998,"03",399347,399346036,98925349
"16","1201","Soja, mesmo triturada",1998,"04",1859816,1859816767,444498412
"17","1201","Soja, mesmo triturada",1998,"05",1894614,1894612707,446609880
"18","1201","Soja, mesmo triturada",1998,"06",1468339,1468338152,345529153
"19","1201","Soja, mesmo triturada",1998,"07",1160335,1160333462,270324268
"20","1201","Soja, mesmo triturada",1998,"08",881387,881387828,201119257
"21","1201","Soja, mesmo triturada",1998,"09",975556,962469185,220252674
"22","1201","Soja, mesmo triturada",1998,"10",409864,409859085,93218734
"23","1201","Soja, mesmo triturada",1998,"11",165988,166280691,38660803
"24","1201","Soja, mesmo triturada",1998,"12",62394,62391820,13282433
"25","1201","Soja, mesmo triturada",1999,"01",39262,39262486,9115549
"26","1201","Soja, mesmo triturada",1999,"02",142742,142741740,28385880
"27","1201","Soja, mesmo triturada",1999,"03",523879,523877889,95905889
"28","1201","Soja, mesmo triturada",1999,"04",1568173,1568170612,284783936
"29","1201","Soja, mesmo triturada",1999,"05",1860894,1860894337,335185885
"30","1201","Soja, mesmo triturada",1999,"06",1422178,1422179649,247936561
"31","1201","Soja, mesmo triturada",1999,"07",1252360,1252347954,219899125
"32","1201","Soja, mesmo triturada",1999,"08",774476,774475498,133737112
"33","1201","Soja, mesmo triturada",1999,"09",703024,703024146,123867077
"34","1201","Soja, mesmo triturada",1999,"10",333897,322837478,58889797
"35","1201","Soja, mesmo triturada",1999,"11",188717,186162796,34266290
"36","1201","Soja, mesmo triturada",1999,"12",114886,114940860,20229134
"37","1201","Soja, mesmo triturada",2000,"01",33376,33611620,5507660
"38","1201","Soja, mesmo triturada",2000,"02",59206,59205827,11255384
"39","1201","Soja, mesmo triturada",2000,"03",563367,563365340,104267700
"40","1201","Soja, mesmo triturada",2000,"04",1605234,1605231947,304337612
"41","1201","Soja, mesmo triturada",2000,"05",1769635,1769814548,337395241
"42","1201","Soja, mesmo triturada",2000,"06",1791617,1791613782,345376332
"43","1201","Soja, mesmo triturada",2000,"07",2210924,1851291357,353263286
"44","1201","Soja, mesmo triturada",2000,"08",2010506,2010500747,380247150
"45","1201","Soja, mesmo triturada",2000,"09",791005,791795386,149138414
"46","1201","Soja, mesmo triturada",2000,"10",608239,597951630,113417053
"47","1201","Soja, mesmo triturada",2000,"11",327583,328678928,62305085
"48","1201","Soja, mesmo triturada",2000,"12",113081,114011469,21316319
"49","1201","Soja, mesmo triturada",2001,"01",295352,295766257,58188005
"50","1201","Soja, mesmo triturada",2001,"02",91681,92302365,19676199
"51","1201","Soja, mesmo triturada",2001,"03",902754,902753591,161880205
"52","1201","Soja, mesmo triturada",2001,"04",1992262,1992261225,336058402
"53","1201","Soja, mesmo triturada",2001,"05",2541301,2541335701,416279892
"54","1201","Soja, mesmo triturada",2001,"06",2652626,2652623567,435667608
"55","1201","Soja, mesmo triturada",2001,"07",1952558,1952556305,337766313
"56","1201","Soja, mesmo triturada",2001,"08",2495839,2495838931,445356745
"57","1201","Soja, mesmo triturada",2001,"09",1502531,1502652200,280168399
"58","1201","Soja, mesmo triturada",2001,"10",822443,827863306,156751356
"59","1201","Soja, mesmo triturada",2001,"11",192568,193036187,36063289
"60","1201","Soja, mesmo triturada",2001,"12",226555,226552401,41651477
